TRANSACTION_AMOUNT,FIRST_TWO_DIGITS,EXPECTED_COUNTS,ACTUAL_COUNTS,EXPECTED_FREQUENCIES,ACTUAL_FREQUENCIES,ABSOLUTE_DEVIATION,Z_STATISTIC
66.0,66,258.70724076779356,191,0.006530867158957755,0.0048216494585110944,0.0017092177004466606,4.1921284808617125
67.0,67,254.87439964430249,197,0.006434110005409903,0.00497311488652715,0.0014609951188827531,3.6054270239358086
68.0,68,251.15347234275464,197,0.006340178031018975,0.00497311488652715,0.0013670631444918247,3.3963260448797077
69.0,69,247.53962770986206,230,0.006248949277001542,0.005806174740615454,0.0004427745363860874,1.0864229586918581
70.0,70,244.0283087239726,255,0.006160308704818433,0.006437280690682352,0.00027697198586391827,0.6724168012046872
71.0,71,240.61521332310787,198,0.006074147712193166,0.004998359124529826,0.0010757885876633401,2.7233312522815436
72.0,72,237.29627681978127,204,0.00599036368918742,0.005149824552545881,0.0008405391366415388,2.1354223508395878
73.0,73,234.06765575154122,164,0.005908859610520315,0.004140055032438846,0.0017688045780814687,4.5606166094486325
74.0,74,230.9257130322555,174,0.005829543660723891,0.004392497412465605,0.0014370462482582863,3.7240069482965845
75.0,75,227.8670042835753,313,0.0057523288890913415,0.007901446494837554,0.0021491176057462126,5.622787893603586
76.0,76,224.88826523853535,176,0.005677132891690489,0.0044429858884709565,0.0012341470032195328,3.2358839783819944
77.0,77,221.98640012047397,210,0.0056038775179984845,0.005301289980561937,0.0003025875374365475,0.7731095628572896
78.0,78,219.15847091025535,138,0.0055324885999610066,0.0034837048443692726,0.002048783755591734,5.463557951442117
79.0,79,216.40168742360612,284,0.005462895701502187,0.007169363592759953,0.001706467891257766,4.573732720565214
80.0,80,213.71339812809052,233,0.005395031886706145,0.0058819074546234825,0.0004868755679173376,1.2885671183224507
81.0,81,211.09108163621764,145,0.005328833505066964,0.003660414510388004,0.00166841899467896,4.526578806457682
82.0,82,208.53233881724648,168,0.0052642399923572185,0.00424103198444955,0.0010232080079076687,2.7795237626957614
83.0,83,206.03488547590135,172,0.005201193685807724,0.004342008936460253,0.000859184749347471,2.3423879190504366
84.0,84,203.5965455509592,205,0.005139639652411057,0.005175068790548558,3.5429138137500586e-05,0.0634804497357781
85.0,85,201.21524479116943,195,0.005079525529274971,0.004922626410521798,0.0001568991187531725,0.40393381535058054
86.0,86,198.8890048698878,147,0.005020801375050812,0.0037109029863933557,0.001309898388657456,3.653068532310582
87.0,87,196.61593790329584,171,0.0049634195315501435,0.004316764698457577,0.0006466548330925663,1.795645152697646
88.0,88,194.39424134030205,140,0.0049073344947442015,0.0035341933203746245,0.001373141174369577,3.874974978343721
89.0,89,192.2221931950466,210,0.004852502794412102,0.005301289980561937,0.0004487871861498351,1.249232061775081
90.0,90,190.09814759550383,298,0.004798882881768708,0.007522782924797415,0.002723900043028707,7.808496176967818
91.0,91,188.02053062399943,114,0.0047464350244616526,0.002877843132305051,0.0018685918921566014,5.374513089086978
92.0,92,185.9878364275517,155,0.004695121208379868,0.003912856890414763,0.0007822643179651052,2.2408163677489514
93.0,93,183.99862357783104,113,0.004644905045763538,0.0028525988943023757,0.0017923061514611626,5.209359494362423
94.0,94,182.05151166226477,133,0.004595751689149137,0.0033574836543558933,0.001238268034793244,3.6066655087026644
95.0,95,180.14517808929756,240,0.004547627750720661,0.006058617120642214,0.0015109893699215525,4.432354033905301
96.0,96,178.27835509233503,125,0.004500501226676471,0.003155529750334486,0.0013449714763419844,3.9617404408121337
97.0,97,176.44982691804083,140,0.004454341426249989,0.0035341933203746245,0.0009201481058753644,2.712411606347452
98.0,98,174.65842718594436,147,0.004409118905055016,0.0037109029863933557,0.0006982159186616605,2.0595359999847265
99.0,99,172.9030364072563,299,0.0043648054024501125,0.007548027162800091,0.0031832217603499783,9.572551467226122
